Row size;OpenBLAS;Current;Ratio;Inaccuracy
100;0.00400942;0.0156017;3.89125;0
200;0.0146145;0.154823;10.5938;0
300;0.0549463;0.672014;12.2304;0
400;0.156728;4.33337;27.6491;0
500;0.341489;4.5684;13.3779;0
600;0.51882;7.18164;13.8423;0
700;0.880175;12.0094;13.6444;0
800;1.28518;39.6425;30.8458;0
900;1.87684;32.3212;17.2211;0
1000;2.68962;99.6249;37.0405;0
1100;3.22843;110.754;34.3058;0
1200;4.38004;182.251;41.6095;0
1300;5.73504;247.923;43.2294;0
1400;7.43828;415.546;55.8659;0
1500;9.04864;532.794;58.8811;0
1600;10.2333;495.787;48.4483;0
1700;12.4023;831.778;67.0665;0
1800;15.3307;1015.65;66.2494;0
1900;18.0441;1201.66;66.5957;0
2000;21.1425;1377.24;65.1408;0
