Row size;OpenBLAS;Current;Ratio;Inaccuracy
100;0.0042633;0.017103;4.01168;0
200;0.015219;0.107472;7.06173;0
300;0.0657717;0.474817;7.21916;0
400;0.1646;2.16395;13.1467;0
500;0.333488;2.76456;8.28984;0
600;0.530999;3.98145;7.49803;0
700;0.863859;7.01825;8.12431;0
800;1.3156;22.4867;17.0923;0
900;1.89398;19.9796;10.549;0
1000;2.63242;37.9191;14.4046;0
1100;3.09317;52.5097;16.976;0
1200;4.39903;90.7183;20.6224;0
1300;5.70299;106.116;18.6071;0
1400;7.10576;147.63;20.7762;0
1500;8.92489;189.896;21.2771;0
1600;9.82642;378.722;38.5412;0
1700;12.2212;295.153;24.1509;0
1800;15.0815;357.313;23.6921;0
1900;17.8985;429.937;24.0209;0
2000;20.7881;597.586;28.7466;0
