Row size;OpenBLAS;Current;Ratio;Inaccuracy
100;0.00249659;0.0100577;4.02857;0
200;0.0151409;0.0761821;5.03155;0
300;0.0625492;0.25117;4.01555;0
400;0.163257;0.711958;4.36095;0
500;0.344636;1.52565;4.42684;0
600;0.542515;2.53048;4.66435;0
700;0.874775;4.18319;4.78202;0
800;1.30536;6.12688;4.69364;0
900;1.91339;8.57239;4.4802;0
1000;2.6936;12.1857;4.52396;0
1100;3.09968;16.2382;5.23868;0
1200;4.37731;21.7013;4.95767;0
1300;5.81621;27.2207;4.68015;0
1400;7.28468;33.9399;4.65907;0
1500;9.04068;42.166;4.66403;0
1600;9.84593;52.6784;5.35028;0
1700;12.2915;61.5117;5.00441;0
1800;15.4887;73.0642;4.71725;0
1900;18.2182;85.9248;4.71643;0
2000;20.8898;100.978;4.83386;0
