Row size;OpenBLAS;Current;Ratio;Inaccuracy
100;0.00376369;0.014256;3.78777;0
200;0.0167797;0.0718818;4.28387;0
300;0.0650587;0.221861;3.41017;0
400;0.172943;0.48014;2.77628;0
500;0.332005;0.962823;2.90002;0
600;0.490152;1.69338;3.45481;0
700;0.836734;2.69387;3.21951;0
800;1.34031;4.68745;3.49728;0
900;1.93493;7.24807;3.74591;0
1000;2.68173;10.4075;3.8809;0
1100;3.18296;14.48;4.54922;0
1200;4.29094;20.0679;4.67681;0
1300;5.68882;27.5811;4.8483;0
1400;7.31902;34.8714;4.76449;0
1500;8.98056;45.1512;5.02765;0
1600;9.84746;58.2607;5.91632;0
1700;12.3482;70.9407;5.74501;0
1800;15.4639;85.6307;5.53745;0
1900;18.2836;101.652;5.55974;0
2000;21.5195;121.73;5.65672;0
