Row size;OpenBLAS;Current;Ratio;Inaccuracy
100;0.00236699;0.00874508;3.6946;0
200;0.0174088;0.0761677;4.37523;0
300;0.0627762;0.248186;3.9535;0
400;0.159192;0.723662;4.54585;0
500;0.333397;1.53358;4.59987;0
600;0.511006;2.56113;5.01194;0
700;0.827742;4.15851;5.02392;0
800;1.30507;6.20003;4.75072;0
900;1.93808;8.60036;4.43756;0
1000;2.65749;12.2639;4.61484;0
1100;3.12931;16.3363;5.2204;0
1200;4.41258;21.6208;4.89981;0
1300;5.91819;27.308;4.61426;0
1400;7.25581;34.0094;4.68719;0
1500;9.10985;42.038;4.61457;0
1600;9.88968;52.7646;5.33532;0
1700;12.1577;61.5997;5.06673;0
1800;15.3097;73.1774;4.77981;0
1900;18.2836;86.051;4.70647;0
2000;21.0979;100.594;4.76795;0
