Row size;OpenBLAS;Current;Ratio;Inaccuracy
100;0.00422583;0.0134655;3.18646;0
200;0.0179046;0.0593085;3.31248;0
300;0.0593625;0.198382;3.34187;0
400;0.159102;0.469614;2.95165;0
500;0.337028;0.9031;2.6796;0
600;0.51694;1.56292;3.02341;0
700;0.85304;2.73723;3.20879;0
800;1.30566;4.58766;3.51368;0
900;1.90243;6.95942;3.65817;0
1000;2.72092;10.3673;3.81021;0
1100;3.09726;15.156;4.89335;0
1200;4.51716;21.4289;4.74389;0
1300;5.89061;27.6696;4.69724;0
1400;7.15461;36.8367;5.14866;0
1500;8.85228;45.6824;5.16052;0
1600;9.94029;57.9842;5.83325;0
1700;12.2237;71.3454;5.83663;0
1800;15.3184;85.9231;5.60914;0
1900;18.2733;102.225;5.59423;0
2000;21.4688;121.29;5.64958;0
