Row size;OpenBLAS;Current;Ratio;Inaccuracy
100;0.00265373;0.0254452;9.58849;0
200;0.0206837;0.193279;9.34451;0
300;0.0546689;1.28502;23.5056;0
400;0.159477;1.27341;7.98491;0
500;0.332536;1.27495;3.83403;0
600;0.486143;9.13455;18.7898;0
700;0.835412;9.17705;10.9851;0
800;1.35018;9.14578;6.77375;0
900;1.91799;9.18942;4.79118;0
1000;2.68946;9.19341;3.41831;0
1100;3.0267;62.6422;20.6965;0
1200;4.40365;62.5942;14.2142;0
1300;5.8765;62.5674;10.6471;0
1400;7.45724;62.67;8.40391;0
1500;9.17201;62.6738;6.83317;0
1600;9.84746;62.7781;6.37506;0
1700;12.3103;62.828;5.10371;0
1800;15.7159;62.78;3.99468;0
1900;18.3186;62.7092;3.42326;0
2000;21.2566;62.707;2.95;0
