Row size;OpenBLAS;Current;Ratio;Inaccuracy
100;0.00475058;0.0251079;5.28523;0
200;0.0177698;0.149541;8.41547;0
300;0.0677099;0.849335;12.5437;0
400;0.155014;0.827782;5.34007;0
500;0.352249;0.840782;2.3869;0
600;0.448541;5.34282;11.9115;0
700;0.827175;5.31738;6.42837;0
800;1.3458;5.33725;3.96586;0
900;1.96759;5.35176;2.71996;0
1000;2.70438;5.36021;1.98205;0
1100;3.05376;36.279;11.8801;0
1200;4.38449;36.2306;8.26336;0
1300;5.8738;36.1551;6.15532;0
1400;7.46654;36.1799;4.8456;0
1500;9.20019;36.2537;3.94054;0
1600;9.93094;36.2414;3.64934;0
1700;12.2482;36.2683;2.9611;0
1800;15.4379;36.3237;2.35289;0
1900;18.6781;36.3312;1.94512;0
2000;21.6976;36.2884;1.67246;0
