Row size;OpenBLAS;Current;Ratio;Inaccuracy
100;0.00616041;0.0298299;4.84219;0
200;0.0146266;0.190691;13.0373;0
300;0.0603413;1.94182;32.1807;0
400;0.152784;1.9465;12.7402;0
500;0.334069;1.9478;5.83054;0
600;0.44731;13.7858;30.8193;0
700;0.816791;13.7677;16.8559;0
800;1.36906;13.7382;10.0347;0
900;1.94177;13.8309;7.12281;0
1000;2.68782;13.8;5.13427;0
1100;3.01578;94.5128;31.3394;0
1200;4.36733;94.2969;21.5914;0
1300;5.89572;94.9212;16.1;0
1400;7.4709;94.4794;12.6463;0
1500;9.12032;94.4755;10.3588;0
1600;9.77348;94.8305;9.70284;0
1700;12.3038;94.8092;7.70566;0
1800;15.631;94.6945;6.05814;0
1900;18.6999;94.7367;5.06617;0
2000;21.6923;94.921;4.37579;0
