Row size;OpenBLAS;Current;Ratio;Inaccuracy
100;0.00238239;0.0133796;5.61606;0
200;0.0164423;0.0974368;5.92598;0
300;0.0638168;0.321455;5.03715;0
400;0.154205;0.809363;5.2486;0
500;0.347529;1.5367;4.42178;0
600;0.545663;2.66816;4.88976;0
700;0.825414;4.23978;5.13655;0
800;1.3645;6.49633;4.76097;0
900;1.91275;9.07893;4.74653;0
1000;2.69724;12.5114;4.6386;0
1100;3.09654;16.6713;5.38384;0
1200;4.4148;21.901;4.9608;0
1300;5.85457;27.7312;4.73667;0
1400;7.20281;34.925;4.8488;0
1500;9.06605;43.1253;4.75679;0
1600;10.0378;53.1532;5.29532;0
1700;12.3213;63.4651;5.15085;0
1800;15.3596;75.6765;4.927;0
1900;18.3432;89.6897;4.88954;0
2000;21.4285;105.111;4.9052;0
