Row size;OpenBLAS;Current;Ratio;Inaccuracy
100;0.00378009;0.013027;3.44623;0
200;0.0180705;0.063656;3.52265;0
300;0.0660059;0.214529;3.25014;0
400;0.162422;0.462617;2.84824;0
500;0.342323;0.944804;2.75998;0
600;0.50461;1.67114;3.31174;0
700;0.824025;2.91054;3.53211;0
800;1.36911;4.68897;3.42482;0
900;1.95221;6.88814;3.52839;0
1000;2.70443;9.78577;3.61843;0
1100;3.08286;15.4216;5.00238;0
1200;4.40636;20.3986;4.62935;0
1300;5.81232;25.7013;4.42187;0
1400;7.28627;35.6607;4.89422;0
1500;9.03795;44.5076;4.92452;0
1600;10.0079;54.597;5.45542;0
1700;12.2434;65.7776;5.37249;0
1800;15.4867;81.1356;5.23904;0
1900;18.4733;96.7219;5.23576;0
2000;21.1663;114.614;5.41494;0
