Row size;OpenBLAS;Current;Ratio;Inaccuracy
100;0.00604115;0.0100363;1.66132;0
200;0.0437578;0.125596;2.87026;0
300;0.123554;0.326829;2.64524;0
400;0.277697;0.690225;2.48553;0
500;0.554378;1.32715;2.39395;0
600;0.955307;2.23535;2.33993;0
700;1.43824;3.45328;2.40104;0
800;2.03681;5.53373;2.71685;0
900;2.86631;7.56516;2.63934;0
1000;4.02251;10.3017;2.56102;0
1100;5.0495;13.8581;2.74445;0
1200;6.74478;18.3794;2.72498;0
1300;8.52868;23.2674;2.72814;0
1400;10.5889;29.0131;2.73995;0
1500;12.8256;37.7116;2.94034;0
1600;15.5156;44.3486;2.85832;0
1700;18.9913;51.9113;2.73343;0
1800;21.5518;61.4787;2.85259;0
1900;26.8077;73.8889;2.75626;0
2000;30.6398;85.8809;2.80292;0
