Row size;OpenBLAS;Current;Ratio;Inaccuracy
100;0.00126872;0.0157714;12.4309;0
200;0.00498649;0.0520631;10.4408;0
300;0.0215103;0.189516;8.81047;0
400;0.0551198;0.586192;10.6349;0
500;0.0960286;0.939444;9.78296;0
600;0.134179;2.15971;16.0957;0
700;0.20814;3.86268;18.5581;0
800;0.312983;5.91234;18.8903;0
900;0.423201;8.92693;21.0938;0
1000;0.576501;12.4315;21.5637;0
1100;0.76539;16.7115;21.834;0
1200;0.999283;22.4018;22.4179;0
1300;1.27349;28.1118;22.0747;0
1400;1.58329;36.3324;22.9473;0
1500;1.91653;44.7534;23.3512;0
1600;2.33069;74.9305;32.1495;0
1700;2.82397;65.6646;23.2526;0
1800;3.32586;78.4832;23.5979;0
1900;3.89934;93.3548;23.9412;0
2000;4.52452;118.1;26.1022;0
