Row size;OpenBLAS;Current;Ratio;Inaccuracy
100;0.00273728;0.00603011;2.20296;0
200;0.0047535;0.0601672;12.6575;0
300;0.0160444;0.23264;14.4997;0
400;0.0407377;1.29266;31.7314;0
500;0.0752767;2.25124;29.9063;0
600;0.132627;6.40832;48.3183;0
700;0.197504;11.8164;59.8285;0
800;0.298832;18.9605;63.4485;0
900;0.421042;29.2033;69.3596;0
1000;0.582669;40.9634;70.3031;0
1100;0.775388;55.8523;72.0313;0
1200;0.987069;73.3709;74.3321;0
1300;1.26099;94.7326;75.1258;0
1400;1.57719;121.01;76.725;0
1500;1.92557;155.068;80.5306;0
1600;2.34417;194.32;82.895;0
1700;2.80319;221.713;79.0929;0
1800;3.31543;260.424;78.549;0
1900;4.03819;316.372;78.345;0
2000;4.53876;371.929;81.945;0
