Row size;OpenBLAS;Current;Ratio;Inaccuracy
100;0.00396295;0.00858301;2.16581;0
200;0.00930753;0.0492313;5.28941;0
300;0.0186106;0.140225;7.53472;0
400;0.0503559;0.291385;5.78651;0
500;0.0838015;0.459119;5.47865;0
600;0.149947;0.65805;4.38856;0
700;0.204223;1.00586;4.92531;0
800;0.308111;1.44989;4.70575;0
900;0.424217;1.99511;4.70304;0
1000;0.581741;2.69698;4.63605;0
1100;0.769468;3.4674;4.50623;0
1200;0.995654;4.46773;4.48723;0
1300;1.25362;5.643;4.50135;0
1400;1.5762;7.00999;4.4474;0
1500;1.91974;8.57633;4.46744;0
1600;2.33595;10.3982;4.45138;0
1700;2.79929;12.51;4.469;0
1800;3.31795;14.7798;4.4545;0
1900;3.8908;17.4318;4.48028;0
2000;4.55919;20.7991;4.56201;0
