Row size;OpenBLAS;Current;Ratio;Inaccuracy
100;0.00143078;0.0226359;15.8207;0
200;0.0052371;0.0909376;17.3641;0
300;0.0249562;0.473685;18.9806;0
400;0.0448158;0.482732;10.7715;0
500;0.093435;0.469448;5.02432;0
600;0.135582;2.61805;19.3098;0
700;0.199994;2.59732;12.987;0
800;0.308445;2.61063;8.46383;0
900;0.424841;2.5899;6.09618;0
1000;0.592112;2.60601;4.40121;0
1100;0.769863;17.7585;23.0671;0
1200;0.987873;17.6555;17.8722;0
1300;1.25881;17.6614;14.0302;0
1400;1.57219;17.7124;11.2661;0
1500;1.91631;17.6803;9.22618;0
1600;2.43244;17.8969;7.35758;0
1700;2.79588;17.6642;6.31792;0
1800;3.34943;17.7083;5.28694;0
1900;3.88464;17.7231;4.56236;0
2000;4.52901;17.7305;3.91487;0
