Row size;OpenBLAS;Current;Ratio;Inaccuracy
100;0.00124492;0.0209462;16.8253;0
200;0.00629491;0.132044;20.9763;0
300;0.0163901;0.434117;26.4866;0
400;0.0504437;0.42656;8.45616;0
500;0.0777576;0.425548;5.47275;0
600;0.128053;2.18864;17.0917;0
700;0.205407;2.18972;10.6604;0
800;0.295989;2.18539;7.38333;0
900;0.419262;2.18157;5.20335;0
1000;0.581214;2.19373;3.7744;0
1100;0.787084;14.6812;18.6526;0
1200;0.99036;14.6889;14.8319;0
1300;1.25532;14.6926;11.7042;0
1400;1.57034;14.6902;9.35474;0
1500;1.98781;14.721;7.40564;0
1600;2.33959;14.7175;6.29065;0
1700;2.91631;14.8039;5.07625;0
1800;3.3013;14.7259;4.46062;0
1900;4.08165;14.7558;3.61515;0
2000;4.52826;14.7534;3.25807;0
