Row size;OpenBLAS;Current;Ratio;Inaccuracy
100;0.0032474;0.0170021;5.23561;0
200;0.00513063;0.133781;26.0749;0
300;0.0192106;0.953459;49.6318;0
400;0.0392019;0.954374;24.3451;0
500;0.0750989;0.956308;12.734;0
600;0.134757;6.76247;50.1827;0
700;0.202562;6.75386;33.3421;0
800;0.296756;6.75917;22.7769;0
900;0.429665;6.76291;15.74;0
1000;0.575028;6.78582;11.8008;0
1100;0.768864;47.3435;61.5758;0
1200;0.995726;47.3948;47.5982;0
1300;1.25786;47.3813;37.6683;0
1400;1.56487;47.3714;30.2717;0
1500;1.9217;47.3865;24.6586;0
1600;2.34555;47.4111;20.2132;0
1700;2.80309;47.4636;16.9326;0
1800;3.30994;47.4388;14.3322;0
1900;4.04118;47.42;11.7342;0
2000;4.51047;47.4554;10.5212;0
