Row size;OpenBLAS;Current;Ratio;Inaccuracy
100;0.00144982;0.012376;8.53621;0
200;0.00910736;0.0602911;6.62004;0
300;0.0341674;0.148323;4.34106;0
400;0.0492286;0.300753;6.10931;0
500;0.0815;0.48858;5.99485;0
600;0.142062;0.73146;5.14888;0
700;0.205605;1.08918;5.29743;0
800;0.307191;1.53533;4.99796;0
900;0.429061;2.13458;4.97502;0
1000;0.58023;2.87427;4.95368;0
1100;0.769962;3.71465;4.82446;0
1200;0.995365;4.81514;4.83756;0
1300;1.26033;6.09955;4.83966;0
1400;1.56708;7.58787;4.84204;0
1500;1.92324;9.3637;4.86871;0
1600;2.33134;11.2443;4.8231;0
1700;2.89796;13.4992;4.65818;0
1800;3.33032;16.2602;4.88249;0
1900;3.87475;18.8677;4.8694;0
2000;4.52276;21.8811;4.83799;0
