Row size;OpenBLAS;Current;Ratio;Inaccuracy
100;0.00259339;0.00741901;2.86074;0
200;0.00485977;0.0481537;9.90863;0
300;0.0162076;0.164428;10.1451;0
400;0.0398049;0.388638;9.76357;0
500;0.0743505;0.763341;10.2668;0
600;0.133435;1.36074;10.1978;0
700;0.197648;2.18486;11.0543;0
800;0.297566;3.28648;11.0445;0
900;0.422926;4.68465;11.0768;0
1000;0.575658;6.4145;11.1429;0
1100;0.771477;8.55289;11.0864;0
1200;0.990217;11.1;11.2097;0
1300;1.24869;14.1041;11.2951;0
1400;1.5706;17.6333;11.2271;0
1500;1.91496;21.6945;11.3289;0
1600;2.33341;26.1902;11.224;0
1700;2.78976;31.3014;11.2201;0
1800;3.31165;37.2675;11.2535;0
1900;3.88752;44.0188;11.3231;0
2000;4.52418;51.6199;11.4098;0
