Row size;OpenBLAS;Current;Ratio;Inaccuracy
100;0.0028881;0.00446676;1.5466;0
200;0.00194431;0.00550613;2.83192;0
300;0.00266013;0.0149981;5.63809;0
400;0.00360736;0.0219457;6.08359;0
500;0.00722251;0.0421517;5.83616;0
600;0.0108007;0.0643055;5.95382;0
700;0.0147164;0.0857755;5.82858;0
800;0.0215716;0.13208;6.12288;0
900;0.0297628;0.149855;5.03497;0
1000;0.0451907;0.190134;4.20737;0
1100;0.054054;0.247357;4.57611;0
1200;0.0668268;0.307618;4.60322;0
1300;0.0872705;0.381247;4.36857;0
1400;0.107025;0.454907;4.25049;0
1500;0.123771;0.524499;4.23764;0
1600;0.141505;0.635487;4.49091;0
1700;0.173744;0.739615;4.25694;0
1800;0.20406;0.899628;4.40865;0
1900;0.24672;1.06755;4.32699;0
2000;0.276367;1.25357;4.5359;0
