Row size;OpenBLAS;Current;Ratio;Inaccuracy
100;8.76228e-05;0.00032194;3.67416;0
200;0.00114563;0.00274915;2.39967;0
300;0.00111154;0.00986543;8.87548;0
400;0.0026238;0.0274301;10.4544;0
500;0.00491898;0.0473783;9.63174;0
600;0.00794704;0.0846877;10.6565;0
700;0.0126052;0.154105;12.2255;0
800;0.0234647;0.271093;11.5533;0
900;0.034746;0.428427;12.3302;0
1000;0.0493469;0.604496;12.2499;0
1100;0.0628223;0.773027;12.305;0
1200;0.0716292;1.0735;14.9869;0
1300;0.0789517;1.35722;17.1905;0
1400;0.111786;1.56073;13.9618;0
1500;0.147308;1.83316;12.4444;0
1600;0.142598;2.40109;16.8382;0
1700;0.177013;2.62812;14.847;0
1800;0.214323;3.35306;15.6449;0
1900;0.265394;3.47117;13.0793;0
2000;0.32016;4.01692;12.5466;0
