Row size;OpenBLAS;Current;Ratio;Inaccuracy
100;0.000122061;0.00268638;22.0085;0
200;0.000691957;0.0185241;26.7706;0
300;0.00231409;0.0355375;15.357;0
400;0.00390584;0.0337366;8.63748;0
500;0.00751131;0.0397844;5.29661;0
600;0.0125298;0.188082;15.0108;0
700;0.0159896;0.188366;11.7805;0
800;0.0225712;0.186834;8.27751;0
900;0.0300204;0.182608;6.08281;0
1000;0.0399192;0.183159;4.58823;0
1100;0.0495985;0.876236;17.6666;0
1200;0.0629883;0.884772;14.0466;0
1300;0.078485;0.867121;11.0482;0
1400;0.101282;0.885986;8.74769;0
1500;0.12116;0.880096;7.2639;0
1600;0.143595;0.890768;6.20334;0
1700;0.171824;0.894287;5.20467;0
1800;0.203505;0.878254;4.31565;0
1900;0.241582;0.891631;3.69081;0
2000;0.281783;0.883048;3.13378;0
