Row size;OpenBLAS;Current;Ratio;Inaccuracy
100;0.000396677;0.0024613;6.20481;0
200;0.00124848;0.01132;9.06702;0
300;0.00433795;0.0665242;15.3354;0
400;0.00371257;0.0542454;14.6113;0
500;0.00745355;0.0895033;12.0081;0
600;0.0107313;0.221642;20.6537;0
700;0.0164671;0.21712;13.185;0
800;0.0202309;0.210569;10.4083;0
900;0.0293367;0.213449;7.27584;0
1000;0.0394133;0.211201;5.35863;0
1100;0.0702138;1.13371;16.1466;0
1200;0.0714871;1.06296;14.8693;0
1300;0.0905333;1.05596;11.6638;0
1400;0.111587;1.02996;9.23013;0
1500;0.137004;1.0501;7.66472;0
1600;0.169743;1.03824;6.11652;0
1700;0.303321;1.19135;3.92768;0
1800;0.331781;1.23096;3.71016;0
1900;0.425644;1.26362;2.96873;0
2000;0.415548;1.20823;2.90756;0
