Row size;OpenBLAS;Current;Ratio;Inaccuracy
100;0.00247196;0.00577537;2.33636;0
200;0.00143858;0.0108003;7.50763;0
300;0.00462344;0.022818;4.93529;0
400;0.00548262;0.0496198;9.05038;0
500;0.00902679;0.0675927;7.48802;0
600;0.0182857;0.107465;5.87702;0
700;0.0281191;0.159338;5.66652;0
800;0.033212;0.280313;8.44011;0
900;0.0483061;0.426551;8.83016;0
1000;0.0671357;0.641027;9.54822;0
1100;0.0827667;0.772127;9.32896;0
1200;0.0642049;1.26956;19.7735;0
1300;0.0791558;1.91422;24.183;0
1400;0.0992344;2.46533;24.8435;0
1500;0.125154;2.8044;22.4077;0
1600;0.14193;4.2424;29.8908;0
1700;0.176391;4.87591;27.6426;0
1800;0.202283;5.85113;28.9255;0
1900;0.243575;6.63257;27.2301;0
2000;0.275458;8.21552;29.825;0
