Row size;OpenBLAS;Current;Ratio;Inaccuracy
100;9.39334e-05;0.000858696;9.14154;0
200;0.000425482;0.00717203;16.8563;0
300;0.00106859;0.0260704;24.3971;0
400;0.00241006;0.0596487;24.7499;0
500;0.00467029;0.119472;25.5812;0
600;0.00804651;0.255568;31.7613;0
700;0.0128031;0.297721;23.2537;0
800;0.0161992;0.518432;32.0036;0
900;0.0275566;0.646792;23.4714;0
1000;0.0320431;0.959562;29.9459;0
1100;0.054384;1.16744;21.4666;0
1200;0.0544455;1.60239;29.4311;0
1300;0.0700179;2.02057;28.8579;0
1400;0.106729;2.42006;22.6748;0
1500;0.108467;3.07648;28.3633;0
1600;0.145246;3.60951;24.851;0
1700;0.171439;4.33592;25.2913;0
1800;0.178642;5.3023;29.6811;0
1900;0.234077;6.06658;25.917;0
2000;0.240143;7.22908;30.1033;0
